Image Name,Lesion Coverage,Class Label
ISIC_0027802.jpg,0.5502,AKIEC
ISIC_0031108.jpg,0.7822,AKIEC
ISIC_0028795.jpg,0.4341,AKIEC
ISIC_0031918.jpg,0.3015,AKIEC
ISIC_0026178.jpg,0.3677,AKIEC
ISIC_0028941.jpg,0.5865,AKIEC
ISIC_0029830.jpg,0.6375,AKIEC
ISIC_0024511.jpg,0.4244,AKIEC
ISIC_0032897.jpg,0.1979,AKIEC
ISIC_0027580.jpg,0.5409,AKIEC
ISIC_0031335.jpg,0.6049,AKIEC
ISIC_0026466.jpg,0.253,AKIEC
ISIC_0033536.jpg,0.2928,AKIEC
ISIC_0029840.jpg,0.3576,AKIEC
ISIC_0030953.jpg,0.5514,AKIEC
ISIC_0026650.jpg,0.6986,AKIEC
ISIC_0032135.jpg,0.6593,AKIEC
ISIC_0031927.jpg,0.4182,AKIEC
ISIC_0026411.jpg,0.164,AKIEC
ISIC_0032437.jpg,0.6529,AKIEC
ISIC_0026319.jpg,0.7732,AKIEC
ISIC_0029362.jpg,0.3588,AKIEC
ISIC_0028990.jpg,0.4061,AKIEC
ISIC_0024925.jpg,0.2166,AKIEC
ISIC_0026171.jpg,0.503,AKIEC
ISIC_0025790.jpg,0.5063,AKIEC
ISIC_0027708.jpg,0.7675,AKIEC
ISIC_0024710.jpg,0.5917,AKIEC
ISIC_0025319.jpg,0.6149,AKIEC
ISIC_0031421.jpg,0.4938,AKIEC
ISIC_0029133.jpg,0.7273,AKIEC
ISIC_0026327.jpg,0.4889,AKIEC
ISIC_0029025.jpg,0.2248,AKIEC
ISIC_0026729.jpg,0.4725,AKIEC
ISIC_0030991.jpg,0.7722,AKIEC
ISIC_0031852.jpg,0.2093,AKIEC
ISIC_0025577.jpg,0.4628,AKIEC
ISIC_0030297.jpg,0.6332,AKIEC
ISIC_0024579.jpg,0.3176,AKIEC
ISIC_0026848.jpg,0.146,AKIEC
ISIC_0026468.jpg,0.3737,AKIEC
ISIC_0025182.jpg,0.2686,AKIEC
ISIC_0025411.jpg,0.388,AKIEC
ISIC_0026388.jpg,0.4501,AKIEC
ISIC_0027950.jpg,0.6908,AKIEC
ISIC_0030826.jpg,0.4617,AKIEC
ISIC_0030463.jpg,0.3154,AKIEC
ISIC_0025831.jpg,0.2701,AKIEC
ISIC_0026457.jpg,0.4403,AKIEC
ISIC_0029533.jpg,0.3213,AKIEC
ISIC_0032404.jpg,0.8481,AKIEC
ISIC_0028370.jpg,0.3233,AKIEC
ISIC_0025539.jpg,0.2078,AKIEC
ISIC_0029041.jpg,0.3202,AKIEC
ISIC_0026992.jpg,0.3102,AKIEC
ISIC_0028224.jpg,0.1776,AKIEC
ISIC_0025808.jpg,0.201,AKIEC
ISIC_0024707.jpg,0.2051,AKIEC
ISIC_0027719.jpg,0.3993,AKIEC
ISIC_0027668.jpg,0.1165,AKIEC
ISIC_0024800.jpg,0.1305,AKIEC
ISIC_0028381.jpg,0.5259,AKIEC
ISIC_0031431.jpg,0.2919,AKIEC
ISIC_0024522.jpg,0.1748,AKIEC
ISIC_0029315.jpg,0.223,AKIEC
ISIC_0027753.jpg,0.451,AKIEC
ISIC_0028619.jpg,0.048,AKIEC
ISIC_0031286.jpg,0.5097,AKIEC
ISIC_0030387.jpg,0.1171,AKIEC
ISIC_0029043.jpg,0.4761,AKIEC
ISIC_0032947.jpg,0.1012,AKIEC
ISIC_0029002.jpg,0.7866,AKIEC
ISIC_0032349.jpg,0.3163,AKIEC
ISIC_0029141.jpg,0.0614,AKIEC
ISIC_0024771.jpg,0.4238,AKIEC
ISIC_0027896.jpg,0.5182,AKIEC
ISIC_0029827.jpg,0.188,AKIEC
ISIC_0030827.jpg,0.2989,AKIEC
ISIC_0031381.jpg,0.4065,AKIEC
ISIC_0027930.jpg,0.2223,AKIEC
ISIC_0031743.jpg,0.5875,AKIEC
ISIC_0026194.jpg,0.1576,AKIEC
ISIC_0029811.jpg,0.4664,AKIEC
ISIC_0031043.jpg,0.4397,AKIEC
ISIC_0026872.jpg,0.6422,AKIEC
ISIC_0025471.jpg,0.3091,AKIEC
ISIC_0024763.jpg,0.5137,AKIEC
ISIC_0030242.jpg,0.6346,AKIEC
ISIC_0029930.jpg,0.5918,AKIEC
ISIC_0031228.jpg,0.8322,AKIEC
ISIC_0030341.jpg,0.482,AKIEC
ISIC_0024654.jpg,0.0304,AKIEC
ISIC_0026645.jpg,0.229,AKIEC
ISIC_0024517.jpg,0.1365,AKIEC
ISIC_0032854.jpg,0.5077,AKIEC
ISIC_0028517.jpg,0.5428,AKIEC
ISIC_0030408.jpg,0.3982,AKIEC
ISIC_0030142.jpg,0.4499,AKIEC
ISIC_0026720.jpg,0.5851,AKIEC
ISIC_0026149.jpg,0.4652,AKIEC
ISIC_0026626.jpg,0.8322,AKIEC
ISIC_0027829.jpg,0.2455,AKIEC
ISIC_0026549.jpg,0.1313,AKIEC
ISIC_0031211.jpg,0.2717,AKIEC
ISIC_0033705.jpg,0.3355,AKIEC
ISIC_0031578.jpg,0.3899,AKIEC
ISIC_0024372.jpg,0.3502,AKIEC
ISIC_0027700.jpg,0.1627,AKIEC
ISIC_0030158.jpg,0.5631,AKIEC
